Organization ID,Monitoring Location UID,Monitoring Location ID,Name,Description,Monitoring Location Type,County,State,Country,HUC 8,HUC 12,Date Established,Tribal Land?,Tribal Land Name,Township/Range/Section,Latitude,Longitude,Horizontal Accuracy,Horizontal Accuracy UoM,Horizontal Reference Datum,Horizontal Collection Method,Source Map Scale,Vertical Measure,Vertical Measure UoM,Vertical Reference Datum,Vertical Collection Method,Comments,Well Type,Well Formation Type,Well Aquifer Name,Well Hole Depth,Well Hole Depth UoM,Alternate ID 1,Alternate Context 1,Alternate ID 2,Alternate Context 2,Alternate ID 3,Alternate Context 3,
"CORIVWCH_WQX","2608506","292","Castle Cr","Take Hwy 82 from Glenwood Spgs to Aspen (approx. 50 miles) Take Castle Creek exit, 2nd route in round-a-bout. Take Castle Creek Rd up about 1/4 mile. Turn left at Music School Rd.  Follow road (like a driveway) over the bridge.  ","River/Stream","Pitkin","CO","US","14010004","140100040203","","","","","39.19142959","-106.8344403","","","NAD83","Interpolation-Map","160000","7700","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2621286","3338","Petroleum Lk Outlet Cr","","River/Stream","Pitkin","CO","US","14010004","140100040101","","","","","39.0248","-106.6229","","","NAD83","Interpolation-Map","160000","9600","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2609454","3484","At Snowmobile Parking Lot","From I-70 S on Hwy 82 toward Aspen, 1.8mi. Turn righton 27th St which becomes Midland Ave, go 1.1 mi, Turn right on Fourmile Rd/ CR 117, go about 9 mi.  Turn right on FS300, go 2.2 mi to parkinig area on left, sample blw road culvert","River/Stream","Garfield","CO","US","14010004","140100041001","","","","","39.40394858","-107.3608506","","","NAD83","Interpolation-Map","160000","5880","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2609455","3485","At Fourmile Pk","From I-70 S on Hwy 82 toward Aspen, 1.8 mi. Turn right on 27th St which turns into Midland Ave, go 1.1 mi, turn right on Fourmile Rd/CR117, go about 9mi, turn right on FS300 go 4.3 mi to Fourmile Park. Park at USFS sign, follow trail along creek for 0.5 mi, sample at creek crossing","River/Stream","Garfield","CO","US","14010004","140100041001","","","","","39.38813635","-107.3952641","","","NAD83","Interpolation-Map","160000","5880","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2609456","3486","Mid Thomson Cr Pk","From I-70 S on Hwy 82 toward Aspen, 1.8mi, right on 27th St which is Midland Ave 1.1 mi, right on FourmileRd/CR117 about 9 mi, right on FS300 12 mi, past Baylor Pk, left toward Mid Thom Cr about 2.2 mi, After sharp R turn, make left at unmarked rd, after FS321, go 4.4 mi to Mid T Pk Trailhead, walk about 1 mi, cross stream, sample downstrm end of pk","River/Stream","Pitkin","CO","US","14010004","140100040708","","","","","39.28827718","-107.3724142","","","NAD83","Interpolation-Map","160000","7040","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2609488","3540","Thompson Cr BLM","To reach the station from the intersection of Hwy 82 & 133, drive south on Hwy 133. Drive 5 miles to the Sewell Ranch. Drive through ranch (w/permission) and walk up Thompson Cr about 0.5 mile to BLM property. Sample here.","River/Stream","Pitkin","CO","US","14010004","140100040708","","","","","39.33267675","-107.2156174","","","NAD83","Interpolation-Map","160000","6300","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2610076","3844","Baylor Park","From I-70 in Glenwood Spgs, travel S on Hwy 82 (Grand Ave) toward Aspen. Go 1.8 miles and turn rt on 27th St, which becomes Midland Ave.  Go 1.1 miles to Four Mile Rd (CR-117). Turn rt and go approx 9 miles to FS-300. Turn rt and go 11 miles to Baylor Park. Turn rt and go 0.9 mi to small trib crossing.  Sample downstream of trib confluence (S of road).","River/Stream","Pitkin","CO","US","14010004","140100040708","","","","","39.3286","-107.433","","","NAD83","Interpolation-Map","160000","6880","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2610077","3845","Below Park Cr","From I-70 in Glenwood Spgs, travel S on Hwy 82 (Grand Ave) toward Aspen. Go 1.8 miles and turn rt on 27th St, which becomes Midland Ave.  Go 1.1 miles to Four Mile Rd (CR-117). Turn rt and go approx 9 miles to FS-300. Turn rt and go 9.7 miles to gas well at Park Cr.  Park on E side of rd and walk E approx 0.2 mi to confluence of Park Cr and N Thompson Cr. Sample downstream.","River/Stream","Pitkin","CO","US","14010004","140100040708","","","","","39.3358","-107.4076","","","NAD83","Interpolation-Map","160000","6880","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2610085","4300","Trib A","From I-70 S on Hwy 82 toward Aspen, 1.8 mi. Turn right at 27th St, it becomes Midland Ave, go 1.1 mi, right on Fourmile Rd/CR117, about 9 mi, right on FS300, about 11.5 mi, past Baylor Pk to culver just after gas well, upstream from culvert","River/Stream","Pitkin","CO","US","14010004","140100040708","","","","","39.319568","-107.426072","","","NAD83","Interpolation-Map","160000","6880","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2610086","4301","Trib B","From I-70 in Glenwood Spgs, travel S on Hwy 82 (Grand Ave) toward Aspen. Go 1.8 miles and turn rt on 27th St, which becomes Midland Ave.  Go 1.1 miles to Four Mile Rd (CR-117). Turn rt and go approx 9 miles to FS-300. Turn rt and go 12 miles, past Baylor Park, then turn left toward Middle Thompson. Stop at sharp left turn in road (approx 0.3 miles) and sample downstream towards culvert.","River/Stream","Pitkin","CO","US","14010004","140100040708","","","","","39.3091","-107.4237","","","NAD83","Interpolation-Map","160000","6880","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608260","45","7th St Br","At Glenwood Spgs exit off I-70, turn right at the traffic light (onto 6th St).  Then turn right at Grand Ave, right at 8th St, right on Colorado Ave, and left on 7th St.  Follow 7th approx 1/4 mi to bridge over Roaring Fork River.","River/Stream","Garfield","CO","US","14010004","140100041003","","","","","39.54677261","-107.3304035","","","NAD83","Interpolation-Map","160000","5760","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608655","487","Above Ruby","From the town of Aspen, travel approx 10 mi southeast on state hwy 82 to FR 106.  Turn right and follow 106 to the old town of Ruby, continuing south through and just beyond Ruby to where road ends (about 10.8 mi from hwy 82).  Station is just to the west, on Lincoln Cr.","River/Stream","Pitkin","CO","US","14010004","140100040101","","","","","39.01588851","-106.6081822","","","NAD83","Interpolation-Map","160000","9600","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608656","488","Below Ruby","From the town of Aspen, travel approx 10 mi southeast on state hwy 82 to FR 106.  Turn right and follow 106 about 10.3 mi.  Station is just to the west, on Lincoln Cr just downstream from an old mine.","River/Stream","Pitkin","CO","US","14010004","140100040101","","","","","39.02366445","-106.6121126","","","NAD83","Interpolation-Map","160000","9600","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608657","489","Campsite","From the town of Aspen, travel approx 9.7 mi southeast on state hwy 82 to Lincoln Gulch Campground.  Station is in campground, on Lincoln Cr.","River/Stream","Pitkin","CO","US","14010004","140100040104","","","","","39.11760707","-106.6972191","","","NAD83","Interpolation-Map","160000","9600","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2610025","6027","Well #1","","Well","Garfield","CO","US","14010004","140100040709","","","","","39.3778","-107.2037","","","NAD83","Interpolation-Map","160000","6150","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2610045","6219","Well #3","","River/Stream","Garfield","CO","US","14010004","140100040709","","","","","39.3778","-107.2036","","","NAD83","Interpolation-Map","160000","6150","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608281","66","Hwy 82 Br","From downtown Aspen, travel approx 1 mi west on state hwy 82 to bridge over Castle Cr.","River/Stream","Pitkin","CO","US","14010004","140100040203","","","","","39.19510661","-106.8332391","","","NAD83","Interpolation-Map","160000","7700","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608282","67","Herron Park Br","From state hwy 82 within the town of Aspen, turn north on 3rd St and proceed approx 1/2 mi to Herron Pk.  Station is at bridge in park.","River/Stream","Pitkin","CO","US","14010004","140100040602","","","","","39.20085691","-106.8239393","","","NAD83","Interpolation-Map","160000","7950","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608283","68","Slaughterhouse","From state hwy 82 in the town Aspen, turn north onto Cemetary Lane (county Rd 19) and proceed approx 1.1 mi to bridge over Roaring Fork River.","River/Stream","Pitkin","CO","US","14010004","140100040602","","","","","39.21088999","-106.839672","","","NAD83","Interpolation-Map","160000","6600","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608284","69","Highlands","From state hwy 82 in the town Aspen, turn south onto Maroon Cr Rd (county Rd 13) and proceed approx 2 mi to Maroon Creek.","River/Stream","Pitkin","CO","US","14010004","140100040302","","","","","39.17827542","-106.8616615","","","NAD83","Interpolation-Map","160000","7700","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608285","70","Woody Cr Br","From the town of Woody Creek, travel approx 1/2 mi north on county road 17 to bridge over Woody Cr.","River/Stream","Pitkin","CO","US","14010004","140100040601","","","","","39.27737666","-106.8885226","","","NAD83","Interpolation-Map","160000","7500","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608286","71","Gerbaz Br","From the town of Woody Creek, intersection of Hwy 82 and Snowmass Cr Rd, head north on county road 17.  Follow Rd 17 approx 3.3 mi to bridge over Roaring Fk River. Park in parking area on far side of bridge adn take sample from bridge.","River/Stream","Pitkin","CO","US","14010004","140100040603","","","","","39.29786384","-106.9216346","","","NAD83","Interpolation-Map","160000","6600","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608287","72","7-11 Br","Samples are taken from the bridge on Emma Rd. within the town of Basalt.  (The bridge crossing the Roaring Fk. River.)","River/Stream","Pitkin","CO","US","14010004","140100040603","","","","","39.36598248","-107.0337335","","","NAD83","Interpolation-Map","160000","6600","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608838","723","Thompson Cr","","River/Stream","Pitkin","CO","US","14010004","140100040708","","","","","39.33358399","-107.2096017","","","NAD83","Interpolation-Map","160000","6300","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
"CORIVWCH_WQX","2608288","73","Upper Basalt Br","From downtown Basalt, travel east on Midland Ave; take first major right turn onto the Pueblo Bridge over the Frying Pan River.","River/Stream","Eagle","CO","US","14010004","140100040507","","","","","39.36900434","-107.0304318","","","NAD83","Interpolation-Map","160000","8700","ft","SEALV","Topographic Map Interpolation","","","","","","","","","","","","",
